,Distillery - Craft Beer & Cocktails
0,Best time ever had with family and frens and best cocktail you can ever have in Gurgaon ... cheers to the man ... Ashish dhyani 
1,"Decided to be here on Tuesday, best decision! The cocktails were great.On the food side i ordered Chilly chicken & Lahore chicken Tikka! The food was nice too, but I fall in love with ambience such a beautifully decorated . They have outdoor as well (Sky Bar) high rise table and comfortable sofa seating. Thanks to team distillery for wonderful evening . Especially thanks to Nitin and Sanju!! 🙏🙏Cheers!!!!!"
2,"It was amazing ambiance, staff was very good delicious and fresh food , and good quality of food thank you"
3,My first time here and it was one of the my best experiences .the ambiance is vibrant and soothing as well. Various types of setting arrangements are there. You can also sit on terrace and enjoy the view .crowd is also good.the staff was courteous and was asking explaining all the dishes when asked. The food was delicious and quantity was also satisfied. My all over experience was great. Definitely I will visit again this place. 
4,"It was awesome experience, amezing ambiance, delicious food, staff courtesy polite and professional,Thank u guys for make my evening such a wonderful... Cheers 🥂"
5,"Hello Peasants,This is the grandest place you can find in the Sector 29, and apart from the ambiance everything else is grand too.So next time you think of visiting London, New York, Singapore, even for work, just ditch them n visit this place instead. It'll give you the better feel about life."
6,Ihad an amazing party experience at this place though I lost my wallet but the party was LIIT. Starters with drinks were tasty.
7,"Great food and drinks, chakhna platter is a must try. Nice ambience and courteous staff."
8,"The service of this place is really slow but the staff is prompt. The upper management is slacky in their operations. They rarely solve your problems and barely listens to you at times. One can understand it's because of a large amount of people but why are you there for then? Food at this place is great if we have to mention, I think it's a bit expensive as compared to the amount they serve. Staff again is really courteous and respectful, go here with a group of friends and ask them to accommodate you to a private room on the terrace, it's worth it!"
9,"I went there one a Saturday night. Food was good. A happening place for food , fun and dance. "
10,"Few months back i visited to this restaurant for checking some delicious food and i found correct place. I tried pakoda chat, gangster pakoda chaat, and really love this. Tatse was amazing. In main course I tried Chicken lababdar combo and it was enough for two people and was tasty. "
11,"Was look for a place to hangout w/ my friends and this was one place which had been on my list for some time. The property is situated at the very entrance of the sec-29 market road so this was a major plus or me.Upon entering the property there was a rustic vibe and the place is humongous divided into 2 floors. We chose to sat by the window. To drink i had a Red Wine Sangria and to eat we had quite a few things namely the gangster kulcha Schezwan Chicken Dimsum, 4 Cheese Tortellini w/ Spicy Tomato Chutney.The food tasted just too good w/ flavors right on point and every thing was so balanced.Shall try other things next time."
12,"Visited this place a couple of weeks before and i loved this place. The property is huge and i mean it. we sat by the window overlooking the whole gurgaon suburbs.We started with LIIT and then on to some daiquiri. To eat we were suggested Pakora Chaat w/ Chutney foam, Naked Chicken Dimsum, Chicken Ghee Roast Kulchaand i absolutely loved each of them. Especially the Ghee Roast Kulcha was just 💯.Im so glad this was the last place i visited before the outbreak. Shall visit again and try other things."
13,"One of the finest places in sector 29 Gurgaon offering unmatched services. The rooftop seating area is best and adds to the overall ambience. I ordered Veg Spring rolls, Veg Pizza, Honey Chilly Potatoes, Wok Chaap, Chilly Paneer, Chicken Seekh Kabab, Chicken Strips, Chicken Dumplings and some drinks.Chilly Paneer and Honey Chilly potatoes were quite similar but I loved having the Spring Rolls and Veg Pizza.Overall the food was delicious and I can visit this place again to relish the amazing food. Recommendation: Veg Spring Rolls, Chicken Seekh Kabab and Veg Pizza.Food: 5/5. Ambience: 5/5. Service: 4/5."
