,L'Opéra
0,I like there cakes the coffer texture the way its chocolatey but they are little over priced. But otherwise the taste of the cakes are super yum and delicious. Their macrons are super yumm as well
1,"L'Opéra brings french taste and designs to you. What I have experienced so far is- there is no comparison to them, be it in quality, taste or the perfection in looks of pastries.The options they have will surely make you rethink your decision all again.I have ordered nutty chocolate delight and I must say it is a package of fulfillment to nut and chocolate lovers."
2,"I just had a stale black forest pastry here. I pointed out to the manager Vinod in the beginning, but he was extremely imposing and said that it was fresh.I am never going back to a place that keeps stale items and cannot do inventory management.This place has lost its charm, the original in Khan market was really good when it opened."
3,"Tried this chocolate Mille-feuille and it was very average. The puff sheets were rather hard and not crisp, expected better quality at such a high price. "
4,Must had a coffee and opera pastry 
5,Probably they do the most instagrammable desserts in town ! A cute little french-style bakery store at Select City walk mall with so many options to order from.. have tasted Chocolate trio and rose macarons on my first visit which were really nice and then tasted the sacher torte recently.. quite sweet for my taste but had that nutty buttery yumminess entirely and was quite fresh !
6,This is my favourite dessert spot in Select City Walk. I make sure to have their dessert everytime I visit the mall. Their Opera cake is a must try.
7,"Good place to hang out for a coffee. Pastery is obviously their speciality. I would recommend this place for their great pastery, cakes and coffee. "
8,"Go here for the mille feuille dessert, which is amazing. Otherwise, not worth the cost for microwaved food. Had the chicken quiche too, which was alright, wouldn't recommend."
9,Had chocolate macaroons from here.... Mind blowing. Will definitely try their pastries next time. Prices are on a higher side but I found the macaroons totally worth.
10,Tried this white orchid duet tea with milk and almond tart. Tea was a perfect fusion of taste and smell while the Tart was also good but a way too sweet for me. It was undoubtedly presentable. Had that amazing aroma. Place looks simply beautiful. Croissants looked delicious but wasn't able to try it though. Will try sooner.
11,"I placed an order on 10th of April, three breads, for which I paid directly by card. Got a call from L’Opera saying only 2 were available. The lady asked if I wanted a replacement, but I asked for a refund of the missing bread. She told me she would take the latter to Zomato. Someone from Zomato called me to confirm with me that I wanted a refund. And I am still waiting for it. Today I take the issue to Zomato customer support and they tell me it’s too late to ask for anything. It is unacceptable that the customer has to bear the cost of this."
12,"Was here last Sunday night for evening snacks tried coffee with cookies, coffee was okayish similar too other cafe brands but cooking was deliciousneed more to give another star with awareness"
13,Found the tart and pastries to be average at best. Expected it to be much much better than this. Coffee was okayish nothing special. Overl average experience.
14,Great choice to buy cakes! And yes they taste exquisite!  It keeps up to its French name :) the chocolate was all kinds that you can imagine. Even a layer of white chocolate. 
15,"L’opera’s products are always very good and fresh That’s why we are a regular client.Yesterday I got a Christmas cake , the same kind I got last week as well and it was the best one I had ever had, but the one I got yesterday when I opened at home and tried for my surprise was very dry! I guess at least 2-3 days old. My disappointment is with the selling a not fresh product in this particular salon of l’opera :("
16,I sent a cake to a friend with specific instructions to address it to my friend’s name and not mine. Also to write Happy Birthday on it. None of the request was fulfilled. The royal chocolate cake was nevertheless scrumptious.
17,"Took my money, failed to deliver my order. Apparently my number wasn't reachable, which is rubbish. My address was definitely reachable though so I don't understand the issue. Won't refund me. Shady shady operator, especially so when considering the premium you pay to these clowns."
18,"Was here last Sunday night for evening snacks tried coffee with cookies, coffee was okayish similar too other cafe brands but cooking was delicious "
19,Every single time I order they decline my order stating that they don't have sufficient quantities. So last time when they did this I called the restaurant directly and asked whether they had 4 pieces of lemon tarts (which was my order by the way) and that said yes they did. I don't understand why my order is not fulfilled the first time around and I have to waste half an hour of my life every time I order through zomato. Whose fault is it?
20,The macroons were dry and flaky and very stale.So disappointing . Such a fan of opera but of late it’s been not upto the mark. At such a price the quality is degenerating
21,"#Hyped #Overpriced #Doesn'tOfferValueForMoneyOrdered online, chocolate trio mousse and brownie .Both seemed average.Nothing exceptional as what the price demands it to be .#overpriced #notworthit."
22,Best birthday cake I ever had. Thanks to Rahul Taank brother. Super good in taste and I have tried other desserts here as well. Would definitely recommend to try this. 
23,The dessert selection here is good and this coming from someone who doesn't have a sweet tooth! Love the tiramisu here. No secret that L'Opera is on the higher side of the price range. I don't mind it the once in a while when I feel like having something sweet!
24,Best macaroons all over Delhi .... soft n melt in mouth macaroons .... love the chocolate and coffee macaroons ....Soft moist pastries and cakes a complete French bakeryLove the chocolate mille feuille
25,Very sad blue berry cheese cake. One of the worst i must hv ever had. Its very sugary n and ill formed cream with some forced blueberry essence.Complete no- no.Ya but the must hv thing is a coffee eclair. Unfortunately most of the times it over. They shud keep more of those eclairs. Humble request
