,The Hong Kong Club - Andaz Delhi
0,"First of all it is located at Andaz, Delhi. I personally like the staff and obviously the ambience. Buffet system is also available there and you can enjoy variour variety of dimsums. "
1,Awesome place and Staff was extremely helpful & suggested us various choices of food & drinks according to our liking. Staff really made us feel at home & took excellent care. The music was very nice & even the ambience was fabulous. The is really good and tasty
2,"Good looking hotel, modern and pleasant at first look, attracting the local trendy youth from medium/upper class.However, this clientele tend to behave in a rude manner, helped with the concept of the hotel which is too friendly and too much braking the codes. Example: there is no check-in counter per say, it's a group of 3 islands. very well thought, very friendly, totally not formal and putting you at ease. But, each and every time you're busy with the attendant, somebody has to act as if they didn't see you and come on the side to cut on you, as if nothing! And this is because the islands can be access from sides.The staff of the restaurant is rude and always trying to make a...read more"
3,This is an amazing place it has an amazing crowd. The food is tasty and worth every penny spend here . The ambience is good as per the restaurant . The service is amazing provided by them. The staff is very cooperative. They are very cooperative. They serve the best dishes
4,Love the cocktails here.
5,"If you are looking for a laidback Sunday brunch that puts flavor first, head towards the Hong Kong Club at Andaz, Aerocity.The Brunch menu is set to become a haven for food lovers. Already a favorite hangout for people who love authentic Chinese cuisine, here you can savor a delicious spread of appetizers and main course all washed down with their signature cocktails, mocktails and sangrias. Make sure to join them for the Sunday brunch that will be accompanied by a soundtrack of smooth live music. Brunch here is a truly luxurious affair. We loved gorging on the sinful dimsums while sipping sangria and whiskey sour. The dimsums were all was so well cooked and incredibly indulgent.The...read more"
6,The ambience is cultured but the music is aimed at a younger club crowd... the two don’t really match and creates a rather jarring experience. The food is good but not as good as it costs.
7,A beautiful place with amazing ambience and amazing bartender ..manoj made our night enjoyable and lovingly... Thanks for the great service...amazing food. Our experience was superb
8,"Extremely slow service, it's so bad that I almost felt like leaving the table in between the service. There was only one lady taking orders, clearing the table, getting food and almost other things too. I felt sorry for her. It's so difficult to believe that it's a part of Hyatt group."
9,"Very nice location with awesome barkeeper, especially Mr. Manoj is a very smart, friendly and helpful person with a very special acknowledge in his job. recommend place or high quality Cantonese cuisine in the Delhi."
10,Terrible service!!! They took what was supposed to be a memorable wedding anniversary dinner & turned it into a really bad experience. We had to wait over 45min for every course. Wrong orders being delivered at our table to waiters not paying any attention to us to giving us the bill when we asked for the dessert menu. I can’t believe that a hotel like Andaz has a restaurant with such poor service. I’m really sorry I decided to book this place for dinner on my wedding anniversary night.
11,"Very nice and classy restaurant in aerocity. Obviously except the prices as per its standards, but very good food, tasty and amazing quality. You can go for a nice evening and good classy food. I had pizza and salad. It was tasty."
12,"If you like a high-class experience in New Delhi, That's the place to go to. The food and environment are exceptional. The food was really awesome and tasty. The staff is very helpful and they really know what to recommend."
13,"Best Place to be....Recently visited with my friends. Must say this is the perfect place in NCR. Starting from ambience,food and staff everything is commendable"
14,"Classy place , great ambience , good foodand a fun place to hang out with friends . However the DJ the weekend we were there was atrocious , no beat no tempo down right atrocious . Her music ensured the place drained out by 1 am on a saturday night"
15,"I've visited Hong Kong Club which is dubbed party central post- midnight; it's 'the' place to be in terms of ambience, cocktails and trippy music by International DJs! But last fortnight it was the first time I was indulging in the Cantonese cuisine it's celebrated for. Trust me, the menu doesn't come close to describing the intensity of the flavours that await!Walking in from the poolside entrance, my friends and I were once again awed with the sheer scale of its spaces—the two-floor three-hundred cover, artistic restaurant and lounge has a central island bar, private dining rooms with their own bars, open kitchens and wine racks. My friends and I surrendered ourselves to the...read more"
16,"Very large place , got very good music , has a large spread of food as well. Located inside the aerocity , has very good crowds .. The live music and dj both are equally good . Quite a large menu for drinks as well . They practically have everything .quite a lot of space , smoking zones and open till the wee hours for clubbing afficiaionados .. hope the service could be bit better .."
17,"If you are looking for a classy place to party then your search ends here !!!Fantastic service, good food & some great wines to enjoy with amazing music 🎵 Worth visiting once for sure & yes there sunday brunch is the best deal of town!"
18,Completely overhyped place the extent that nourishment is considered...staff is incredibly friendly.The lotus stem with potatoes and fresh onions were stunning. The bacon-wrapped prawn sui mai are absolute necessities as well. The fundamental course absolute necessities are the chow-mein and sautéed greens. Completing with their fantastic pastry platter.
19,Went here for the Sunday dimsum and champagne brunch and had such a wonderful time. Choose from a variety of vegetarian and non-vegetarian dimsums. The lotus stem with potatoes and crispy onions were amazing. The bacon-wrapped prawn sui mai are must-haves too. The main course must-haves are the chow-mein and stir fried greens. Finishing with their excellent dessert platter. Pair the afternoon with champaign and live tunes!
20,Absolutely overhyped place as far as food is considered...staff is extremely friendly but despite changing our dishes thrice the food remained extremely pedestrian.Kindly review your rating system Zomato.
21,Pathetic food irresponsible staff never to visit again. I had to cal for my food 10 times. Despite being empty i had to wait 1 hour for food.
22,"visited the place some days ago with corporate colleagues. amazing place with  beautiful interiors , great food and lovely cocktails. they also have very good collection of wines. we tried one Australian wine ,which  complimented the food beautifully. we ordered some  'Vegetarian Crystal Dimsum' , 'Crystal Prawn Dimsum',  'Crispy Pork Belly' and  'Barbecued Pork Bao', all the dishes were very well made and well presented. service is a bit slow and there is scope for improvement. overall a amazing place and highly recommended."
23,"Good food,Staff is very attentive:)Thankyou:)"
24,I recently visited this place and ambience is great !! This place is cool for team events.!! Food here is not that great but staff is very courteous !Overall good experience!!
25,I had a great time here!! We had three dumplings and three customised mocktails. The service could have been better. But the girl who took my order for customised mocktail was amazing. She was really nice n humble to understand and pay attention to the details. She even came and asked me if I liked my drink or not. She can change if I am not liking it.I wish I could have asked her name to mention here. But she was really amazing. And coming to the drinks and food. Everything tasted really good. 
26,"Hong Kong Club - Stylishly Luxurious....Located in one of my favorite hotels in Delhi/NCR, The Hong Kong Club was on my list of restaurants to visit since a very long time. I finally did get the chance and the experience was rejuvenating. After having visited hundreds of restaurants in the city, this super stylish and posh property had me impressed and thoroughly delighted, a combination of feelings that is not all that common.The 'Sunday Brunch Menu' had a lavish combination of Dimsum and Appetizers and we carefully chose what we felt would thrill us. Accompanied by a glass of Champagne, the Brunch session was ready to take off.From the 'Vegetarian Crystal Dimsum' to the 'Crystal...read more"
27,"THC , at Andaz is magnanimous. Great water body welcomes you , high ceilings , amazingly beautiful bar , sad thing is they had only Bira and Edinger weiss beer. Their lotus stem deep fired with steamed potato was just ok. Steam dishes were good. However being a Sunday there was hardly any crowd. Aerocity is buzzing now with many watering holes. "
28,"I went for Sunday Brunch at The Hong Kong Club. Absolutely loved the brunch menu, the number of dishes offered for brunch are good. You will get a variety a variety of veggies, chicken and seafood. To add on Top unlimited champagne, perfect Sunday brunch in the town."
29,"On requesting a song at the DJ counter, bounc"
30,"Formal, great ambience and good music !The interiors are beautiful to be out for special occasions and dates. The sitting is well managed and quite spacious. I love the feel of this elegant and classy place. This makes it expensive than any other pan Asian restaurant in the city.The drink menu is limited but good choices especially their wine collection is a delight.Talking about the food. Again it’s limited in choices but it’s got good recipes which is well suited to an Indian taste.I have always loved Asian and Cantonese food for their subtle yet delectable flavours. And if you do so, you should visit it and anytime is good :)"
31,"Must try: Pork Shumai, curry bean bao, pork belly in kasundi, wok fried rice, tossed chicken.DecorAndaz Hyatt is a upscale quirky place. There are motifs present that make you believe it's a wonderland. So when i was invited to experience the Sunday Brunch at their Hongkong Club, my initial assumption was it's just another club. However walking in, it looks like smart casual dining, where fine dining meets a club. There's a band performing live and mixologist creating alchemy with edible flowers and jasmine tea. While you might think that's pretty regular, unless you pay a visit you wont be able to fathom how it feels.Special classAs a part of promotion, you can now experience a...read more"
32,"When it comes to luxury+ elegance, HongKong club is a must visit place if you in Delhi.With vast food menu and drinks menu made around Chinese zodiac signs,it just made our experience was absolutely delightful and worth spending money.What we went for was chefs menu, which has everything you would need from appetizers to mains,talking about appetizers we loved chicken wontons and roasted duck salad ,not to forget the dimsums on menu, every other dimsum was just lipsmacking good .We tried the signature cocktails and would recommend it to everyone who visits HongKong Club,my favourite was the one with tiger sign(It was recommended to us by restaurant manger) so thank you to him for...read more"
33,"Located in Andaz Aerocity, The Hong Kong Club is a multi-level entertainment dining destination that offers a bar, restaurant and lounge with a modern Cantonese menu and large repertoire of beverages.The interior of this place is a masterpiece of modern architecture with Chinese influence. The architectural beauty of this place is a thing to be seen by eyes, not one to be described in words. It is a seemless match between class and comfort. Live music added another charm to this place.The staff is courteous and the service is neither fast nor slow.I went here for the Sunday brunch. It had a menu loaded with Cantonese flavours- dimsums, salads, appetisers, soup, main course dishes...read more"
