,Antidot Waterbar Cafe
0,"Horrible food, untrained staff, slow service. Nobody listens to you, food is average or below average"
1,Great ambiance along with great food. 10/10 would recommend to anyone looking for a chilled out place to hangout. 
2,Fantastic Service.Food is deliciousMaumita was amazing helped with lots of options available.Would love to come again 💕................
3,Great food and an even better great ambiance to go along with the food. The live music really adds onto the experience. 
4,"None of the staff wore any masks, maintained distance or sanitized hands. It is a COVID land. They put everyone at risk. The staff, the other dine in guests everyone was extremely careless. I am scared that we may have been exposed to the virus. Upon that, the service was horrible, the food was stale, expensive and not worth the wait. Really disappointed and now scared for our health. "
5,No measures of covid-19. Staff is very rude and non supportive. Portion size of starters are very skewed. Not at all value for money. Except ambience everything else is not worthy. Waiters will only help if you know them otherwise they will listen to you but won’t act.
6,What a amazing place to hangout with friends...quality of food is amazing....great hospitality.....
7,It’s a amazing place like my 2nd home....and I hope this is a best place in south Delhi...it’s very nice ambiance...food quality is too good..staff is very nice....
8,Good foodGood staffAmbience is goodMust go oncePolite staffOverall 4/5
9,"I wish there was a lower rating option than one Star. The whole page of the restaurant doesn't mention anything about a dress code. We weren't allowed to enter the place because of wearing casual lower pants. I didn't know that to visit ""casual dining"" place we need to dress up. At the least ease mention such stuff in Your information so that no one wastes their time and comes all the way to the restaurant and then has to go back with the worst experience without even entering the place."
10,Horrible and unprofessional place. Booked ourselves for Brunch on Christmas after telecon with the Manager. After reaching found out the restaurant is not even open and no brunch either! Will never come back 
11,Perfect for partying 😻💕 and 
12,Exceptional food and cocktails. And great service by Mr. Vivek.5 stars for the service itself. Will surely come here again.
13,"An amazing lunching experience, the terrace is a plus one and the sunlight made it even more better, i would totally recommend the veg platter and the pizza, mouth watering indeed."
14,Cocktail and food was good. Open area is good. Service is really slow. I called the staff multiple times but a lot of ignorant behaviour. Staff behaviour was really careless. 
15,"Worst service ever. And the manager was irresponsible. Staff was not cooperative. They were rude and standing on the head asking for paying the bill fast and leave the table. Only think that i appreciate is of hookah and the person who made that was Hrithik and he was decent too and suggested some good flavoured Hookah. Overall experience was very bad. I also requested the manager for shifting the table as we have ordered much and there was quite less space on the table and he denied. I won't visit ever this cafe again overpriced,over hyped. I am a food blogger and they don't even respect them"
16,It was very sad that I have paid tax more than what I have eaten with the drinks..plus the alcohol that we have ordered is too expensive and the food quality is pathetic.
17,Amazing place ....good food good hospitality...thanks moumita.........................................................
18,"The rooftop ambience is gorgeous, they have a great view too! The Pina colada was really good, we tried the alfredo spaghetti which exceeded our expectations, and then the Thai green curry which was served with rice, which was also surprisingly really good. We were very happy with everything we ordered, and if you're okay with the price being a little towards the higher side, I'd definitely recommend it. "
19,The place is amazing. Great vibe . Great singing .  Loved it. Food also tastes great .Really enjoyed our time .Will definitely  visit again
20,"Visited this place for the first time great experience, good hospitality by moumita,including the other staff. Keep up the good work. Cheers ☺️"
21,Loved the place and food specially. Will visit here again for sure. Management is very good . Specially our host moumita was really helpful 
22,Good place in south Delhi................nice staff and nice food also...........................................................................................
23,Good service and food is amazing thank for suggesting us a good water table Rohit bro love antidot and we'll again. Beautiful terrace 
24,Thank you Rohit Sharma bro. Really appreciate your hard work. We’ll visit again. So good ambiance. Very quick service. 
25,"It's a very good place to enjoy with frnds nad loved ones ................. .....,..........................."
26,Had dinner here with my friends and felt amzing. Rohit sharma the manager was very generous and nice to us and made our night memorable I’ll advise everyone to visit this beautiful place
27,I enjoy every time I come here 😁
28,"Must visit place roof top, delicious food and amazing ambiance.........,............................"
29,Great ambiance and delicious food!! 
30,"They have good service , awesome food as well as beautiful ambience.Best service by Narendra Rawat and Arman Malik."
31,amazing place to hangout......good people ..............................god food............................
32,Amazing place...food is very nice and staff also...Mr RANA is so amazing and good hospitality..........
33,Narender Rawat was an amazing host. He handled our service beautifully. Food is as always tasty...love it
34,Quick service and courteously staff and management. Nice ambiance and food cocktails are amazing favourite place for dining and chilling
35,"The food was absolutely wonderful, from preparation to presentation, very pleasing. We especially enjoyed the special bar drinks, a place to must visit."
36,"Great ambience food and band. Will def come again . Julie and, Kishor, Arman  best service!............"
37,Good attentive server diwankar and so kind manager Mr. Rohit and ambiance and music food awesome
38,I love this place so much all time favorite. Thank you rohit bhai for your kindness. Quick service and food is also so anazing
39,Food is okayish. Not worth the hype. The sofas were old and stained. There was bird shit on the tables. 
40,Food was really good..!! And  thanks to  Moumita Majumdar for the lovely hospitality... you are really sweet and adorable..  hope to visit this place soon ..!!
41,"Wowwww... And thats what we say the Cafe  .Really the best place in whole Delhi to relax and chill.The staff of the cafe is very well eduacted and have a good knowledge of products.And Moumita is the best person who assisted us for arranging a table , till last...Thanks a lot ..🍾🍾🍾🍾🍾🍾🍾"
42,"Such a cool and happening place for partying, having good food & drink available on demand.The food, service & ambiance of the place is really cool and they have multiple floor sitting arrangements in case someone wanna sit on rooftop.I’m also sharing pics of ambiance and food"
43,"Narender Rawat sir who served the food was very good, other staff was also good, outdoor spacing is very good in the cafe.. Loved it  #loveantidot"
44,Amazing place. Great ambience.
45,"If you a good place to vibe, this place is beautiful. Thank you to server Mr. Roshan, this was a great experience with his courteous on time food delivery and going the extra mile to provide a comfortable experience. "
46,I visited here today service was very quick and staff was well trained about food and bar knowledge. Thank you Rohit sharma (manager) for finding a quick table for us . Overall very good experience.
47,Good service and food was amazing great experience Will visit here again.  Service was very punctual. 
48,"Visited on a Saturday evening. Let’s just say the only thing good about this place is the rooftop but THAT IS IT. i’m surprised this place even comes in the listing of  ‘artisan cocktails’ because it’s the only place which messed up a Whiskey Sour. Literally the only place where I couldn’t even sip the drink it was so bad. I told to change it and the second one also was pathetic to say the least, smelling of egg , i mean how messing up a classic cocktail is as bad as it gets. On top of that i paid for two Whiskey sours even though the second one was a replacement of the first. Super slow service, extremely bland food , the servers are weird...read more"
49,"I came across this place on Zomato a month back and I didn't know it would turn out to be one of the best experiences. I visited the place yesterday again and I was still awestruck. Everything is so amazing, starting from the ambience, the view to the food and drinks. The only thing that could have been a bit better was the service. The staff could have been a bit more proactive. However the guy who made the sheesha was very attentive and kept a regular check. Overall had a great dining experience. Would definitely visit again for another evening of relaxation."
50,"An Average place with below average crowd openly blowing up cigrates all around and the food quantity is very small. Literally like we were 2 people and we usually order maximum 3 items wherever we go, but here had to order 5 items to satisfy our apetite as the food portion was very small and the price was over expensive in comparison and taste was also below average. Over all so so place. Me personally Will never visit again."
51,"Loved the experience, due to allergies chef himself personalised dishes and recommended some. Loved the ambience. Delicious food."
52,Amazing food. Amazing service Beautiful outdoor seating Great ambience Loved the overall experience and will surely love to visit this place again super soon 
53,"Amazing service,Awesome food,Good ambience,Well mannered bartenders.Loved the overall experiance...would love to visit again "
54,"Even after reserving the table 4 hours prior i wasn’t able to get the spot, and the manager casually said that sir its crowded today, so what? Pathetic behaviour of manager and other staff as well. "
55,"Beautiful outdoor seating, best time to visit on Sundays they have live music as well. Very inexpensive and tasty food "
56,"Antidot Waterbar Cafe recently opened, is a cool new hangout joint with its handpainted artsy interiors of beautiful artwork with brown woodwork, touches of green which gives it a very bohemian feel. In the day a cafe and by night a bar with a DJ for a rocking party. Best known for their one of a kind hookah flavors which has fans coming from across town, to their beer festival of premium flavored beer (not home brewery beer) off orange, blackberry, apple and fabulous cocktails like Spring Fling, Whiskey Sour, The Lost Ocean (this is fabulous it has an ice cube in the centre with another drink in it), Let The Clouds Roll By and It Came With The Flood (such wonderful names). They have a...read more"
57,Really good cocktails ( floating peteIs) never had before  and friendly staff @Vikas give good service nice place amazing food
58,Sitting area is amazing i loved it ❤️Staff is so goood 🥰Hukkah 😍 The most i loved is Chicken cheetinad 😍 also mojito 😍 ANTIDOT❤️ Will visit again❤️ Great service by Narandra rana.. 
59,The food was very good.. The service also is very good.. Love the ambience.. Great service by Mr Narandra rana..
60,"- Ambience is nice IF you get a good seating away from mosquitoes and lizards on 4th floor- Parking: You will be charged a 100 for valet despite calling it as their official parking partner and they literally left the car where I gave them. Wow!- Food is simply pathetic in a word. To add details: stale and chewy chicken, masala papad is busted(imagine how can one make this dish incorrect, like 2 ounces of salt on it) and those of you who are thinking that nachos can be a safe choice, yes they are! Nachos Sprinkled with cheese is what you call nachos then yes! No beans no veggies!Now coming to drinks and the super slow and unbearable service. Got the drinks incorrect twice and with no...read more"
61,"Well , It was very suspicious from the very moment when the Waiter (NAVEEN) said that ""Sir acha discount dilwa dunga"" and it took me only a moment to realise that there is something worth.But we continued with our things had some drinks including with some bites to eat (Chicken Perri Perri Pizza {the crust is so hard it turns out to a hard Biscuit after 2-3 minutes} And chicken Supreme Perri Perri Which is wrapped in some leaf 🌿 kinda thing but was Dry Inside , A few Mocktails (Lemon Tea , Cold cofee ) and 10 Pegs (30 ml X 10) of Teacher's Highland - (215 x 10) now when the time came for billing the Waiter/Server (NAVEEN) told us that they charge 30% extra on CARD PAYMENT (Important...read more"
62,"I went here yesterday for dinner. The waiter sanitised our seats and table in front of us. The ambience is lovely and that’s the USP here. Rooftop Ambience is gorgeous with lush greenery and blue lights that go with the theme.We ordered Baos, Mushroom Tikka, Garden Pizza and Mezze Platter.Everything was served hot and tasted good. Baos came with spicy sauce that gave it a nice kick. Pizza was my favourite. Thin crust and loaded with vegetables.I loved Mushroom Tikka as well. Must try!We also tried their signature cocktails. Watermelon Mojito was serves in the Watermelon itself. It had pulpy pieces which made the taste fresh and authentic.The place had live IPL screening as well...read more"
63,"Fast service, good food & ambiance, Thank you Mr. Rohit Sharma (Manager) "
64,Everything and everyone here is excellent.....................................................!!!!!!!!!!!!!!
65,Nice Food Excellent Service Good Ambiance 
