,Mama's Buoi
0,"So , i ordered pizza , a white sauce pasta and a sangria drink , the food was average and the service was slow, i only liked the white sauce pasta ,which was very cheesy 🤤, ambience was great , rooftop is also available ❤"
1,"Good place, good food & great live music session"
2,This a great place to party and have amazing music with a bar counter and the sitting is quite interesting. All the dishes were delicious.
3,Great food and ambience staff is courteous too
4,all platter was amaing.😍 food is very delicious 😋
5,Mix sauce pasta with different taste of great sauces. Good infrastructure crowd with great service and proper hygiene. 
6,"The ambience is so good, very High end, though service was bit slow but may be because of the crowd and too much demand this place has. We had so much food here can't help it our tummy was Full and taste was so delicious of the food that ee wanted to eat more."
7,"One of the most happening cafe .Good amibience,comfortable seating area for your friends and family.Lipsmacking and finger licking food.Decent staff and staff service was also best.Good for instaworthy photos.Must go with your fam."
8,Mama's buoi is a outlet that is so outstanding and very beautiful ambience also the top flour is so nice and also the place where you come regularly.Me and my family regularly eaten there food which is so yummy tasted Peri peri fish Tikka spring roll and brownie with ice cream.
9,I am very pleased to have tried a outlet in gtb nagar where I tried many dishes likePaneer 65Pestro pastaChilly potatoRogan JoshGarlic naanDeath by chocolateI am so happy to try this outlet.
10,I am so excited to try this place where maximum things are so valuable and eaten so many dishes like paneer makhani double dal fry and butter naan also in dessert eaten death by chocolatethanks to staff specially zuned for giving food timely and very cooperative.
11,Painters chicken wings was the best wings I have ever had😍 mild spicy soft and juicy!! It was perfect..I am still in aww with it!! Crispy fried paprika was peppry outside juicy inside accompanied with 4 types of sauces which were soo amazing that I loved them!! Kali mirch ghost was nice ...I loved the fact that the packing was gud and everything was pipping hot! For sure the star of the day was chicken wings♥️
12,Hot and sour chicken soup and Mama's buoy special pizza with coffee and toblerone shake is all that we need on a Saturday night.Thanks to Junaid for serving us our dinner well .
13,"Great place ♥️I tried :- Drums of heaven, tiranga chaaap and burgerIn drinks :-Sangria and water melon mojito.Amazing ambience with beautiful vibe.Good value for money.Give it a try."
14,"Yesterday i visited there with my friends.It is really one of the best place in hudson lane❤💯I tried burger, tiranga chaap, drums of heaven and dahi ke sholey.Everything was really tasty❤.And in drinks sangria and watermelon mojito And in last i had brownie with icecream.Highly recommended"
15,Went to mama’s buoi today. The ambiance was really good. I really liked the elaborate menu. The service was good as well.Orders: -•Chicken Dimsums•Murg Malai TikkaBoth the dishes were equally tasty. I is loved the presentation and the flavours. The quantity was sufficient. A 5/5 from my side.
16,Two days back i went to this place with my friends. The place has a very beautiful ambience with an amazing interior. The staff was very good and the service was very fast. Food was very yummy.We ordered-Butter chicken dimsumsDeath by chocolatePaneer makhaniButter naanVeg biryaniEverything was yummy and spices were upto the mark. Recommended place.
17,A lounge that provides with a good quality and quantity of food. The staff is also friendly. It has a good ambience with a good music system. Cooperative service and hygiene is maintained here. It was worth going here.
18,"Tandoori Vegetable Platter!!A go to choice for your evening drinks or to enjoy taste of everything in a single plate. This platter from @mamasbuoidelhi consist of two types of paneer tikka, soft and well roasted soya chaap, hara bhara kebab and juicy mushrooms. Alongside is classic mix sauce penne pasta from the menu. A must go to place for you evening. You can also try variety tasty shakes from @mamasbuoidelhi .For more follow me on Instagram @absaurkebabs"
19,An awesome place to chill out with friends! Amazing ambience and good food. Will surely visit again sometime!
20,Superb staff .Ambiance 5/5 Food 4.5/5Great place for enjoying your day ...
21,"Perfect place to experience customer disservice! They have 101 ways to spoil your experience, constant glaring from managers to ignored calls by waiters to dysfunctional water purifiers. Imagine the worst and they will beat it."
22,This place has a nice ambiance and seating. The rooftop seating was cozy and nice. Sadly their food is not that good.We ordered Alfredo penne pasta and garden fresh pizza. The pasta was average and lacked seasoning. The pizza was also not very good.However we liked their mocktails.
23,Food was good. White sauce pasta could be better. Decent ambience
24,"The food is great and the ambience too but the shakes are really pathetic..Please improve the quality of your Shakes.. It's really like drinking raw milk. Also, service is kinda slow."
25,Rude Staff and Manager... Not children friendly... would have never visited it if knew this cafe has goon's as its customer. Worst cafe in Hudson Lane
