,TEO - Lounge & Bar
0,"TEO is located in club road Punjabi Bagh. It has very beautiful ambience, proper seating arrangements and capacity for any social gatherings like birthday parties.  They are taking care of all precautionary measures and sanitation. The food was really very nice and Tasty with good presentation. Music they played is very soothing and relaxing. Highly recommended place must visit with your friends and family. Hope you will definitely enjoy.."
1,"Amazing place.. lov'd being there.. food was good,staff was very Polite, quick service, i really liked it."
2,The food was super delicious and mouthwatering 🤤🤤❤️ i had amazing time enjoying my food and cocktail 🍸..❤️❤️ loved the ambiance and the lighting was super cool and ❤️ they have an amazing interior were you can click beautiful pictures ❤️❤️ talking about the music(dj) 🎶 it will make your feet dance❤️❤️ Try this place ❤️ it’s worthy
3,Good music n ambience. Nice place to hangout with frnz n family.. n food was delicious..must try pizzzaaaa.
4,It was god Love the dj and ambiance the service was okay okay the food quality was good but was served cold has a huge space for dance 
5,"This place is lit. Great lighting and ambience.  Food was tasty according to other cafes there. Sitting is also good.  I had pizza, teo punch , mojito assorted cocktail, chilli paneer, dalmakhani shahepaneer. Chilli potato was so hard and it felt like kurkure not upto mark.Everything tastes perfect and served us hot.service was nice and fast .Love To visit again."
6,Super cool ambiance Highly recommended A must go to place.Good quality foodCashless paytm available 
7,Great ambience and food. Perfect place to hang out with friends and family. Staff and service was also super quick. Loved it!! 🥳And the food was equally good. Amazing taste.❤️
8,"amazing vibes ,full on music and dance , I had great time there ,staff was polite and we'll mannered "
9,The name has changed from Masaba to Teo but the outstanding dining experience at this place is still the same!!..i went this time to their fine dining section on second floor and the vibe of the place is so calm and soothing!!..the minute you enter there's a service guy ready to help you and escort you to your table!!.. excellent service overall..the staff is polite and respectful!!.. coming to the food...its a step above excellent!!..no complaints what so ever!!..right from the starters including their tikkas and chilly chicken to their pepperoni pizza.. everything is a simple 10/10..the quantity is good..but the quality is even better..in the main course this is the only place where...read more
10,"Tried their different starters and main course, everything was good in terms of quality and quantity. I love their presentation and their dessert. They are taking care of all the safety measures. "
11,******imp management issue that everyone should know******1. Gave my car to vallet for parking who represented himself as the valid vallet of dining room... He also had his keys collection area at the entrance of dining room..2...He parked it somewhere and received a chaalan for improper parking.3.. Who knows best than a valet and restaurant where to park.4. No help from management even refused to provide details of vallet.
12,Lovely ambience with worth grooving music. Live dhol was the best part . Food quality was really amazing. Loved their main course.Family crowd & chic decor.
13,"They have amazing song collection the punjabi beats and bangra and even they have doll over there.  I had chocolate brownie with ice cream , i just love it, its so delicious and tasty . They present it on lil cycle cart showpiece which is so adorable and nice way to serve an item or a dish . Love to visit here again ❤️"
14,"I went here this weekend with my friend. We loved it’s well done interiors with cool edgy neon signs. For starters, we ordered their veg pizza with drums of heaven. I would lightly recommend you to try their pizza. And you just cannot miss their amazingly done cocktails. For main course, we had butter chicken, which was so perfectly cooked. Ended our night on a sweet note with fudgy chocolate brownies served along with vanilla ice cream. This is a perfect place for all the party junkies in town with it’s superb music, and delicious food."
15,So Ambience was really lively. The music and the combined Dhol made my lousy weekend fun. I tried the chilly chicken and Paneer Tikka and it was amazing. Talking about the portion size its good and fulfilling. I tried the Classic Margarita pretty top notch and the virgin watermelon mojito.  In all a great experience. 
16,"TEO is a newly opened outlet in Punjabi Bagh. It has a lit ambience with an amazing dance floor. I went their for dinner and ordered chicken drum sticks and chicken malai tikka as starters. Loved the taste, the drumsticks were very tasty and the chicken malai tikka was very soft and delicious. As for mains, I had chicken hakka noodles with chilli chicken. The noodles were loaded with chicken chunks and the chicken gravy was mouthwatering. For dessert, I had their chocolate brownie with ice cream which again, was pretty great. The best thing about this place is their service. Mr. Anand took care of us and made sure that all of our demands were fulfilled. To sum it up :•Ambience -...read more"
17,"*Advisory if you are going through Zomato/Dineout Booking*: It is full of terms and conditions such as you can't have seafood, shots at a discount. If you are getting a 40% discount, you are getting 60% in quantity. Loud music was also the issue. The taste and service were okay, but not worth the price you pay. If you are thinking, you are saving money, well I am sorry, you aren't. Sarcastically, there are more banners of Zomato/Dineout TnC inside and outside the cafe than the brands themselves. I had good expectations from such a brand but was disappointed, don't fall into the temptation of positive reviews."
18,"I went there with my friends and it's really nicely place to visit in this pandemic . The TEO properly take care of precautions . I ordered butter Chicken , garlic naan and chicken biryani . Butter chicken was tasty , pieces of chicken were properly cooked by chef . Also biryani was nice , the pineapple mocktail was also very nice ."
19,"First time visit to the lounge and loved every bit of it. Awesome live music and rocking dj perfect for a weekend. the dhol is an icing on the cake to work on the adrenaline rush. The sheesha is huge & made well 👌 giving you a fabulous boost for the evening. Tried almost 5 to 6 veg and nonveg starters..spring rolls with dip, drums of heaven, chicken tikka, pizza, pasta, kebabs, all done very deliciously. loved how fine the chicken was cooked, I have something for places serving juicy and succulent chicken recipes. Plus the main course had a spread of kadhai paneer, paneer butter masala, butter chicken, dal.makhani, biryani, raita served with hot 🔥 tandoori roti and butter naan. A...read more"
20,such an amazing place such a cool vibe i am in love with this place you should come with friends and for get to gether prices are resonable and the amabience is also good they have two floor one is for partiea and one is for fine dinning you will love this place 
21,"The place was good decent, DJ was also okay. We ordered chilli Chicken, chilli paneer and Thai spring roll. Everything was good except for Thai spring roll."
22,"As u Enter,Its mesmerizing Atmosphere.The Chic & Urban Decor at 2nd(having 2 Floors, 2nd& 3rd) Add to Experience with Soothing Music.Moving to the 3rd Floor, Its an All Different Experience altogether.It's a Party Lounge.Bang is the Word.Foot Automatically Started Dancing.Quality of Food Was Excelled & Proportionately acc. to Cost.Highly Recommended & Apt for Gatherings of Min 20 people to 150+ at a Time."
23,"Amazing place for party and delicious food. Ambience is so good and comfortable and staffs are super friendly. We tried watermelon mojita which was so refreshing and honey chilli potato, chilli paneer and veg Manchurian great starter with perfect tasteFor main course garlic butter naan, dal makhani and paneer butter masala which was so delicious. Overall great experience totally recommended"
24,"TEO is one of the best outlet I recently visited,with high on music and enthusiastic crowd I have some great time here,ordered chilly paneer,honey chilly potato,dry Manchurian,drums of heaven in starters and butter chicken, veg biryani and lacha paratha in main and end my lunch with brownie icecream.I must recommend you to visit outlet with your friends or family."
25,"Great ambiance and good bar for variety of mocktails for a beautiful time, their menu is elaborate and food is delicious. Had chicken tikka, drums of heaven, and chilli chicken all them were delicious and spicy, quality of ingredients was top notch and flavours added were delicious. Further the best part was the main course where i loved butter chicken and biryani creamy spicy gravy with juicy chunks of charred chicken and tangy spicy creamy tomato gravy pair it with biryani and you have the best dinner. Prices are economical for the quality and quantity we get."
26,"Food was just fabulous. I mean it looked it tasted so well I can't explain in words totally a worth place to try. I would love to visit again. Also, the best part is they have both ambiance a family restaurant where you can visit with family and dance floor where you can enjoy with your cousin's and friends. A great party place having DJ with floor. "
27,"Located at prime location of Club road in Punjabi Bagh this place is perfect for your parties & get together 🔥👻🤓.  They have very good ambience & lighting 😻. We tried their Dal makhani naan which was so yummy. But the honey chilly potato was not good as it was too sweet . They have wide range of mocktails 🍹🍸. Tried their virgin mojito , pineapple cobbler & kiwi mojito which were quite refreshing & perfect to quench ur thirst.But watermelon mojito was not that much good.  Overall experience was fine🤓🔥."
28,"If you are looking for good music and good food this place is for you teo lounge and bar located in Punjabi Bagh club road New Delhi . Visited this place for a party with friends the ambience of this places very eye catching. we ordered many things like barbecue chicken chicken drumstick honey chilli potato and in main course we have paneer butter masala butter chicken and in dessert brownie with ice cream the food quality and quantity was great . The food was perfectly cooked and served well. courteous staff . In drinks section we have mint chee, teo green and teo punch . The drinks was superb very refreshing .RecommendedOverallFood 5/5.Service 5/5Ambiance 5/5"
29,"Recently u had visited toe lounge and bar with my friends 😃 we had ordered many thing personally I had ordered chilli potato 🥔 and chilli paneer, the decoration of the dishes are totally surprised me alot and the ambiance of the bar was amazing we had enjoyed alot 😍 and the kind of services they are providing are really appreciative 🤠 I enjoyed alot in there lounge "
30,"I recently went yo teo for brunch with my friends.We had a good time there. The ambiance is nice the food is good. We ordered many items like chilly chicken, BBQ chicken, drums of heaven, chilly paneer and Manchurian balls. In main course we had butter chicken, sahi paneer, dal makhani, butter naan and garlic naan. The food was amazing , we enjoyed alot.Gonna visit again soon."
