,TOS - Take Off Scarlet
0,"Ambience was great but unfortunately the service was very poor, quantity of the starters was less and 10 percent compulsary service charge where the service was pathetic was a great disappointment"
1,Very good food in taste.❤❤  But prices are little higher.. crowd is very good. Valet service.. car parking is available & good for us to park
2,"Recently, I visited TOS. The ambience is great and rooftop is just SO pretty. I totally love this place. And staff behaviour was so good. They have amazingg food,music,drinks and what not.🥰😍"
3,"Had one of the worst experience here. The staff was rude, the manager’s behaviour was dismissive and we weren’t even offered water, even after asking for it thrice. Absolutely pathetic"
4,Great ambience... good options for parties and dinner! Really in love with their rooftop! Would totally recommend this place!
5,"Loved hanging out at TOS. Loved the ambience, food crowd and everything for making a evening memorial ❤️"
6,Visited this place many time. Love the food and yes the best dj with dhol❤️  it's amazing and loved the dj.  The service is also great. Pretty good for dance and party😊
7,Place is good! Outdoor sitting is perfect! Even indoor sitting is good! Nicce place for parties! Food is good
8,"I love this place. I been here more than 15 times and everytime I have similar issues. This place has great ambience, great vibe, great food But I feel food is bit expensive as compared the size of food they serve. I love the shakes, pizza and chilly potato. You guys will definitely like it. "
9,"I visited here few days ago . We ordered tos special Pizza , noodles , virgin mojito and shake. I like virgin mojito and chocolate shake. I don't like the pizza as much . Noodles was good. The ambience was good."
10,"I go to take off scarlet regular and i just loved their rooftop ambience, good food taste and quantity, love their dance floor and music. Staff service is also so good. If you want to go for hangout with friends, you will be in the right place."
11,"So I went to this lounge located on the busiest road in Punjabi Bagh. The location is premium and easy to locate and reach. The ambience of this place is absolutely soothing and will vibe with you. They have a roof top sitting as well. You can enjoy your food and drinks in the open and cool breeze. Secondly , the food served here is delish. I ordered honey chilli potatoes which were very crispy and delicious. Then I ordered pizza and singapore chowmein which I will recommend everyone to must try if you pay a visit to them. I enjoyed their strawberry slush a perfect drink to go with your food. I am totally amazed by the service provided by the staff and would recommend everyone to visit...read more"
12,"•Looking for a place with great ambience and grooving over to your favourite party music !!🥳•This is the right place for you then.👌•Whether to go on a date, with family, friends whatever be the occasion whether cocktail parties, kitty parties this is the right fit for every occasion.🤭•Food⭐️⭐️⭐️•Ambience⭐️⭐️⭐️⭐️⭐️•Staff⭐️⭐️⭐️⭐️⭐️•Rooftop⭐️⭐️⭐️⭐️⭐️•Hygiene and Sanitisation⭐️⭐️⭐️⭐️"
13,"Want to go out for a party with friends? This is one of the best place you can be at!Talking about the ambience here is very lively and the music will surely make your feet dance to the rhythm.The food here is of pretty good taste and reasonable price as compared to the other lounges out there...I Had:Chilly Paneer,Chilli Potato,Pizza,Pasta,veg and nonveg platters.Do try the different mocktails n cocktails they serve they will make your tastebuds go crazy!"
14,"Recently visited this beautiful cafe near me. The ambience was so beautiful, I loved it. They have  rooftop seating which was the main attraction point. It's a great place for date , family get together. I tried their chicken tikka, Singapore Spring rolls, virgin mojito and ice tea , all of the items was so good in taste. DELHIICIOUSNESS-5/5"
15,"The plates were not clean, their were ants on the food and found papers in shakes :(. Not recommended, especially during Covid. "
16,"I loved the food and the ambience a lot. It was super droolish and tempting. I was totally in love with the rooftop ambience. I ordered the garlic chicken noodle, pasta. And pizza. All were served hot and upto the mark. Its a party place. Do visit. Must recommended. "
17,"Yesterday i was here with my friends.  I just lov e their ambience which is for both party and enjoy.  We ordered lahori paneer ,kitkat shake,  virgin mojito, noodles, tos spl pizza.  I just love their shakes and food."
18,"Recently, I visited TOS. The ambience is great and rooftop is just SO pretty. Staff is courteous and service is prompt.I loved the food, from presentation to taste everything was top notch. The portions were good as well. If you wanna party with your friends in Punjabi Bagh, then TOS is the place for you. The vibes are immaculate. Don’t worry about hygiene or sanitation, they look after everything properly and follow all the safety measures. I’m definitely recommending you to visit Take Off Scarlet for your next outing!🥰"
19,I visited this place somedays back. The food was just not upto the mark. I had alot of things but nothing met my expectations. Infact there was some plastic type thing in the chicken tikka. Poor service. 
20,TOS is a really great place to visit. The food is good and the staff is friendly. The ambience is very elegant. The rooftop is a really great place to enjoy the food in good weather and at night. This place is worth a try.5/5 
21,"Visited this amazing place today 📍. Tried their Dahi ke kebab, Tos special paneer tikka, berry shake, paneer do pyaza and garlic naan, totally satisfied with the food, everything was so delicious😋✅. Behavior of staff is not good, they'll only provide you the menu when you sit, after that they'll do nothing, everytime you have to call them for giving order, for clearance or for any requirement. Other than that everything was really good, totally impressed by the Food and ambience. "
22,This rooftop cafe has exquisite interiors and you would find greenery all around the corner of this cafe making it look even more beautiful. Sitting arrangement is quite organised and the space utilization has been done quite meticulously.Dishes tried1. Dahi ke kebabs (4.8/5) 2. Peri peri fries (must try) ✔️3. Veg pizza (had the perfect crisp and taste) must try ✔️4. Oreo shake 5/5 one of the best shakes tried lately 5. Naan and dal makhni shots - beautifully presented6. Mojito - 4.9/5 had a very exotic and refreshing taste 7. Browine with icecream - It had the desirable sweetness and texture 4.8/5 You may visit this cafe with your friends and family for birthday...read more
23,"I went there with my friends.We had Cold Coffee, Oreo Shake, Strawberry Shake, Virgin Mojito, Chilli Chicken Dry, Dal Makhni with baby naan shot, Dahi ke Kebab, Peri Peri Fries, Veg Manchurian Dry, TOS special Veg Pizza, Kadhai Paneer with Laccha Paratha, Chicken Malai Tikka, Chicken Tikka and Brownie with Icecream.The food was good. The quantity and the quality were fulling.They were taking all safety precautions.The ambience was perfect.Its a must go to place."
24,"Today we went to this amazing place by the name of Take Off Scarlet , Punjabi Bagh If you wanna go out to a place where there is a taste of Cafe Then this is the best place for you ! We ordered Dal Makhani , soya  chaap with butter naan & Brownie shake in the drinks  I had the best meal of my lifee !Cheers to the amazing food there and loved the vibes there !!"
25,"Welcome to TOS📸Item's ordered by my group🌟Pizza🌟Shake🌟Dal makhani shots🌟Chicken chilli🌟Dahi kabab🌟Kadhai panner🌟FriesOverall Food was good I like the most is ❤️Dal makhani shot with baby naan❤️Kadhai panner with naanGravy was really too deliciousI can say really you gonna love it but please have your meal while it's hot 😉❤️ SHAKE were like cherry on the cake all i can say is i love it 💕Yeah there is some suggestionsThere is need of  some improvement which can add cherry to cake in terms of pizza , chicken ,  fires but i can understand these days not all outlet running on full staff  so would love to visit again and improve...read more"
26,It was my best friend birthday so we went there for birthday Eve and it was actually a great night. We were very happy with the launge area and a terrace as it was perfect for clicking the picture. We ordered chilly chicken as its my all time favourite and dahi kababs there presentation were awasome at the main course were very yummy and portion were great but at the last brownie ice cream the bestest thing all over it's was actually a great place...
27,Went on a Sunday night. It has a lounge area and a terrace. We sat in the lounge area. Ambience was good with quirky quotes on walls. Dj was playing good songs and it was a party vibe. Ordered chilly chicken and dahi kebabs in starters. Both were good in taste and presentation was nice. Also ordered paneer masala and naan in mains and then followed my fav brownie icecream combo in desserts. Food was tasty and quantity was more than enough for two of us. There was also a dhol wala which added to the dancing fun
28,"Take Off Scarlet - The Club  is the place where you will get the taste & the clubbing you want. I had Both veg & non veg  platters & it was amazing, the paneer tikka   were so delicious that I didnt even need chutney with it to enjoy the taste , everything is just perfect, neither too crispy nor too soggy, and my favourite dish out of these was the chicken tikka  with different types of sauces .Must visit.. Highly recommended!!"
29,"Amazing ambience and food very nice service done by Govind who was handelling our table , managers were making sure everything is perfect we had tandoori platter and in  drink the head blaster drink and mojito and cold drink , in main course we had mutton rogan josh breads and chicken briyani which was beyond words "
30,"Awesome ambience and music. The service is was also good. We had cheesy Nachos, Chicken Pasta and Tandoori platter, with oreo and vanilla shakes. Everything tasted great. The tandoori platter is a not to miss item here. All in all we had a wonderful experience. Great place to visit with friends. "
31,"Heya Foodies!!!Me & My Friends went to  Take Off Sacarlet , Punjabi Bagh and ordered our heart out Not just all sorts of Italian Food but  White Sauce pasta & Veg Pizza is love . The waiter was kind enough to bring the hot food fast , We ate everything .This place had separate fan base for their lovely ambience & this place is perfect for dates. Must VisitLove this place !!💕💕"
32,Such an amazing place for a perfect dateWith amazing cool Vibes an such an amazing ambienceWith grt loud Dj I really loved this happening place in Punjabi Bagh.. and the food was also amazing 😍
