,The Chatter House
0,"It's a beautiful place. I loved the rustic ambience here. They had a foosball table too. The food was good in taste and portion was good too. Service was also fast enough, given that it wasn't much crowded when I went. Since I went here initially in 2020 they had 1+1 on food for Zomato gold members, so it was light on pocket too."
1,"This cafe is located in Nehru place, Epicuria. This place has indoor and outdoor. The outdoor setting is amazing. I tried pizza, it was so tasty and the food presentation was really nice. This place is the best fit for winter evenings. And this is a must-visit place for all pizza lovers."
2,"The outside seating is amazing, especially the ambiance during summer or even winter. It is a bit costly as you can find similar liquor at other places in Epicuria at a lower price during happy hours. But the service is nice. "
3,Very nice place for party and get together with friends. Nice ambiance and delicious and tasty food. Also can order drinks.
4,"Located in nehru place this is one of my favorite places to dine in i tried the pizza and pasta both are great ambience is pretty good nice place to have a try. Also, pizza at this place is one of the best pizzas i have tried. So, this is a must visit for all #pizzalovers.."
5,Amazing place to party or get together with friends. Even if you would like to go alone and have some good food.. the place is good enough to be yourself with music 🎵 and good food. 
6,"Tried the Margherita pizza here and it was amazing 😋😋 ambience was also classy, ,I will recommend you to try this place for sure ❤️"
7,thai chicken is sooo soo delicious.
8,"As the name suggest, Chatter House is a happening place. A great experience here with friends. The ambience is lovely and classy with a great space for comfortable seating. Food quality and staff are  amazing. "
9,It has great experience with yogi 😊 very nice nutty oreo shake very nice presentation i loved it food was delicious and ambiance was very nice
10,Looking for good food and good ambience? Visit Chatter House in Nehru place . Came here for lunch with my friends. We ordered- Gin Ginnie Mezze Non Veg platter Creamy Polenta Bhutjolokia Chicken wingsSmoked Salmon with nicoise saladIrish coffee cheese cake Do try the Irish coffee Cheese cake when you visit this outlet. Overall the experience was good. Would definitely come back. Food- 5/5 Service- 5/5
11,"Visited Chatter house today with my friend for lunch. Firstly talking about the ambience it was amazing and they had a nice sitting arrangement inside and outside. We ordered: Drinks- Gin Ginnie Grand Affair Food- Mezze Non Veg platter Creamy Polenta Dessert-Irish coffee cheese cake Gooey Chocolate cake with Coffee Ice Cream The food was great in taste, freshly cooked and well presented. The service was fast and staff is very polite and courteous.Food- 5/5Service-5/5Ambience- 5/5"
12,"As the name suggests, The Chatter House is a #happening place. Loved the Quick service, the food and the staff here. I didn't find anything Unique in here but it's a decent place to hang out and chill with #friends.Would visit again!"
13,"A great experience here with friends. The ambience was lovely and the food was great too, the drinks were perfect as well. Nice music and reasonable pricing as well."
14,They have classy ambience with a great space for comfortable sitting ☺ Open sittingA thick layer of fresh and soft mascarpone cheese with an Indian sweet 😍Just at Rs 290/-Cheese pull of extra cheese loaded hand tossed  Margherita with cherry and tomato topping 😍At Rs 540/-And Clay oven Peri-Peri Paneer Tikka Rs 440/- was a perfect 💯✨Beers are also available with a games too
15,"Amazing food quality, nice ambience , we ordeed pindi kulcha , and 2 platters , a burger with fries and pizzas , everything was awesome except burger, at last we had shakes in deserts they were average ."
16,Recently I visited this place just had a great time but the thing I loved the most is Gulabjamun Cheesecake 😍 must to have.
17,"Last week I had visited Nehru Place, While roaming in the computer market we got so tired So we decided to vent or try this place the charter House. This place is really amazing the ambience is very peaceful and amazing, must say the food is really amazing the presentation, taste and the hygiene level everything is up to the point.  They have a wide range of variety in their menu. I had ordered platter, India said I had ordered brownie with ice cream we had ordered shakes like chocolate shake. The food was really amazing like a really really amazing and I really loved It. I really felt that I was putting my money at the right place. Was an Amazing experience at this place."
18,Sachin Bar tender Rocks
19,"WE WERE AT NEHRU PLACE LOOKING FOR DECENT PLACE FOR LUNCH, LANDED AT THE CHATTER HOUSE, AWSOME FOOD, LOVE THE SHAKE."
20,"Worth the experience , Perfect for a date ."
21,Bijendar is an excellent server!!!
22,"Unfortunately or maybe fortunately, I landed here on a dry day! The place was hence relatively empty, which also gave me a chance to enjoy the food to the fullest. I tried galouti kebab sliders which were really juicy, simple & delicious. I specially loved the old English pub ambience, it was pretty cool. For other details you can head on to my insta page, the flavourful_tales. Here's the link: https://www.instagram.com/invites/contact/?i=1fwli6nd7cqhj&utm_content=8ipz9p7"
23,The food is yum and Ravi is a really good waiter. Really good sevice. A must go with friends. Really love their Dry Day policy.
